id;name;goals;height;country_id
1;Will;14;178;2
2;Takuya;8;181;1
3;Marco;11;172;3
4;Ken;12;169;1
5;Michael;14;180;2
6;Sho;9;175;1
7;Fumiya;3;178;1
8;Kevin;20;188;24
9;Tetsuya;10;165;1
10;Tsubasa;17;176;1
11;Karim;4;179;33
12;Roberto;2;170;6
13;Ayumu;7;176;1
14;Luigi;12;190;6
15;Pelé;19;181;15
16;Luke;14;176;9
17;Thomas;12;181;3
18;Ben;2;188;2
19;Hikaru;6;170;1
20;Yuhei;7;185;1
21;Bruce;7;168;9
22;Domenico;16;179;43
23;Daiki;9;180;1
24;Fernando;25;186;5
25;Philip;3;172;18
26;Eric;1;188;3
27;Shota;5;180;1
28;Raphael;17;175;5
29;Peter;20;179;20
30;Carlos;11;176;44
